Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall,First_Year,First_Month,Last_Year,Last_Month
infosys.com,NYSE:INFY,Provar,cefd2220-2787-5fc7-bdfa-1086c40d61d1,2024-09-05 07:36:40+00:00,2024-09-05 07:36:40+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,SAP Business Objects,f9e11089-0fe3-45bd-83f7-084118c3798a,2024-08-23 04:40:49+00:00,2024-08-23 04:40:49+00:00,True,2024,8,2024,8
samsung.com,NASDAQOTH:SSNLF,Dynatrace RUM,d28deb2c-b108-5c32-a6b6-256db6686418,2024-09-02 10:03:29+00:00,2024-09-02 10:03:35+00:00,False,2024,9,2024,9
infosys.com,NYSE:INFY,Prometheus,fa864372-dc1e-4db5-97e2-6b591119d6c4,2024-09-03 19:38:41+00:00,2024-09-03 19:38:41+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,Headspin,f3aec17f-8327-4219-88ce-fd9cf8c60285,2024-09-05 10:00:53+00:00,2024-09-05 10:00:53+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Spring Boot,92bed5c9-d378-4390-9a88-7a05731812ed,2024-08-31 14:29:59+00:00,2024-09-05 07:57:41+00:00,True,2024,8,2024,9
infosys.com,NYSE:INFY,Apache Flink,75e7ce81-7d73-5a8a-8e1c-039e3ba0ffec,2024-08-16 19:17:55+00:00,2024-09-01 07:34:01+00:00,True,2024,8,2024,9
wipro.com,NYSE:WIT,Metasploit,053c266d-7852-44a1-a629-a49d434e4526,2024-09-03 06:08:24+00:00,2024-09-03 06:08:24+00:00,True,2024,9,2024,9
baidu.com,NASDAQ:BIDU,Discord,1be80b6f-2555-4674-9d6d-8f34e1f3c730,2024-09-02 13:54:29+00:00,2024-09-03 03:51:37+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,Tailwind,bd4f74ff-3e30-5353-aadd-8e719d476830,2024-09-03 19:29:17+00:00,2024-09-03 19:29:17+00:00,True,2024,9,2024,9
rakuten.com,Unknown,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-24 20:25:27+00:00,2024-08-19 20:47:59+00:00,False,2024,6,2024,8
wipro.com,NYSE:WIT,Robot Framework,a3fe1a18-02d3-4ee0-aeba-9c80c668401a,2024-08-23 03:51:39+00:00,2024-08-23 03:51:39+00:00,True,2024,8,2024,8
alibaba.com,Unknown,Priority Hints,c2cdf986-4b6b-5c8c-a82d-25064f82a4ae,2024-07-30 05:22:15+00:00,2024-08-05 14:00:57+00:00,False,2024,7,2024,8
lg.com,Unknown,Marketo,22773586-a000-5748-aa7b-7bf7ff718c32,2024-07-23 22:04:56+00:00,2024-07-23 22:04:56+00:00,True,2024,7,2024,7
wipro.com,NYSE:WIT,Nice Call Recording,ff73127a-cc2d-4277-9373-4f16d526ab53,2024-08-29 05:34:24+00:00,2024-09-03 18:07:24+00:00,True,2024,8,2024,9
infosys.com,NYSE:INFY,Demandbase,727069c3-9186-5088-a5df-fdc6183cc5ec,2024-08-10 16:45:15+00:00,2024-08-11 20:16:16+00:00,False,2024,8,2024,8
lg.com,Unknown,HCL Commerce,0714bb21-077a-5bce-8c04-097626608922,2024-07-22 21:56:18+00:00,2024-07-24 22:06:00+00:00,True,2024,7,2024,7
wipro.com,NYSE:WIT,Apache NiFi,5f2bebf2-00e3-561a-8fbe-0206e78c1753,2024-09-02 07:49:38+00:00,2024-09-02 07:49:38+00:00,True,2024,9,2024,9
rakuten.com,Unknown,Workday Learning,df7f9fb6-7b42-48d0-b057-4f76bc23ceea,2024-08-29 02:43:01+00:00,2024-08-29 02:43:01+00:00,True,2024,8,2024,8
wipro.com,NYSE:WIT,Azure Defender,00f3b1f8-2b72-40bf-af40-88fc85501215,2024-08-21 22:22:44+00:00,2024-08-21 22:22:44+00:00,True,2024,8,2024,8
samsung.com,NASDAQOTH:SSNLF,Express,f57881be-cd18-51c2-98df-2ed67a53f71c,2024-06-09 03:41:06+00:00,2024-08-09 03:47:05+00:00,False,2024,6,2024,8
wipro.com,NYSE:WIT,Equinix,7dd8ac42-99b3-5bf8-bd33-c69d458ea775,2024-07-28 07:18:18+00:00,2024-07-28 07:18:18+00:00,True,2024,7,2024,7
sony.com,NYSE:SNE,React Native,850ac9a4-1db0-40d5-a6cd-d75cbcb70015,2024-08-27 03:12:25+00:00,2024-08-27 03:12:25+00:00,True,2024,8,2024,8
sony.com,NYSE:SNE,reCAPTCHA,c8d6ddd0-d6ac-5b22-b3ae-43f151366d44,2024-06-09 03:40:41+00:00,2024-08-09 03:46:56+00:00,False,2024,6,2024,8
wipro.com,NYSE:WIT,D3.js,9b74ff79-38e7-5ab7-b183-ada5f90ad920,2024-07-09 07:24:22+00:00,2024-07-09 07:24:22+00:00,True,2024,7,2024,7
grab.com,Unknown,Marketo,22773586-a000-5748-aa7b-7bf7ff718c32,2024-08-08 11:26:42+00:00,2024-08-08 11:26:42+00:00,True,2024,8,2024,8
grab.com,Unknown,DBT,52b115cf-3aeb-51ed-93b7-59789e78b629,2024-09-04 14:53:39+00:00,2024-09-04 14:53:39+00:00,True,2024,9,2024,9
naver.com,Unknown,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-08-01 15:37:19+00:00,2024-08-04 22:26:13+00:00,False,2024,8,2024,8
wipro.com,NYSE:WIT,Oracle Service Cloud,9378cc45-2247-5e44-82e6-5f14e51e4c24,2024-07-31 07:15:10+00:00,2024-07-31 07:15:10+00:00,True,2024,7,2024,7
infosys.com,NYSE:INFY,Salsify,071094e8-48e0-5c13-a661-106b3a4bc72c,2024-08-28 19:32:43+00:00,2024-09-05 19:18:00+00:00,True,2024,8,2024,9
lg.com,Unknown,Adobe XD,4f627307-1264-4090-ad0d-cae94459b761,2024-08-23 04:22:49+00:00,2024-08-23 04:22:49+00:00,True,2024,8,2024,8
infosys.com,NYSE:INFY,Azure SQL,28ae2455-2a88-46d0-a7fa-faeddd84e4ae,2024-08-22 17:30:59+00:00,2024-09-05 19:18:08+00:00,True,2024,8,2024,9
tencent.com,NASDAQOTH:TCEHY,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-06-19 04:57:36+00:00,2024-08-18 05:26:44+00:00,False,2024,6,2024,8
samsung.com,NASDAQOTH:SSNLF,Google My Business,dcb44442-8278-531c-8f61-856c0a02bf46,2024-07-04 03:53:42+00:00,2024-07-04 03:53:42+00:00,True,2024,7,2024,7
samsung.com,NASDAQOTH:SSNLF,Microsoft Intune,d8cc12c9-ae34-4281-baf2-cf2e60890f9a,2024-06-14 16:57:26+00:00,2024-06-14 16:57:26+00:00,True,2024,6,2024,6
wipro.com,NYSE:WIT,ArubaOS,1b793152-d20b-45a7-af1e-af69326ef0ac,2024-07-05 16:28:05+00:00,2024-07-05 16:28:05+00:00,True,2024,7,2024,7
infosys.com,NYSE:INFY,HTTP/3,80bd7a42-b073-57b4-83d4-75644ee0c6d2,2024-09-02 09:29:30+00:00,2024-09-03 16:47:22+00:00,False,2024,9,2024,9
wipro.com,NYSE:WIT,Puppet,31845330-7730-5aa4-abe2-c1d3436f5688,2024-07-05 16:28:05+00:00,2024-07-05 16:28:05+00:00,True,2024,7,2024,7
infosys.com,NYSE:INFY,Stripe,27f13e2f-f09e-5594-bb47-eecb703ce3f9,2024-09-02 19:20:44+00:00,2024-09-02 19:20:44+00:00,True,2024,9,2024,9
lg.com,Unknown,Criteo,70cb5e24-ad38-5096-880c-02e1c54b7483,2024-06-07 15:51:14+00:00,2024-08-29 09:10:34+00:00,True,2024,6,2024,8
huawei.com,Unknown,Adobe Illustrator,1155d5c6-31ab-4843-adc1-a312ba0301e4,2024-08-27 05:34:51+00:00,2024-08-27 05:34:51+00:00,True,2024,8,2024,8
wipro.com,NYSE:WIT,Windows 7,5ae220cf-4b72-46cc-9d34-296105d6e403,2024-08-26 13:09:18+00:00,2024-08-26 13:09:18+00:00,True,2024,8,2024,8
lg.com,Unknown,SAP Business Objects,f9e11089-0fe3-45bd-83f7-084118c3798a,2024-08-21 13:56:47+00:00,2024-09-04 06:43:41+00:00,True,2024,8,2024,9
rakuten.com,Unknown,MobX,e8064615-3ee7-5110-a7cc-f04b32591a6c,2024-06-23 09:50:03+00:00,2024-07-14 18:02:34+00:00,True,2024,6,2024,7
wipro.com,NYSE:WIT,Wireshark,3f9bb75d-e6f7-43d9-8ae7-b7ed9fbb6b43,2024-09-03 19:41:23+00:00,2024-09-03 19:41:23+00:00,True,2024,9,2024,9
rakuten.com,Unknown,SAP Fiori,71c73d54-cfd1-4538-b1a2-3a496ef842d3,2024-06-16 09:45:52+00:00,2024-06-16 09:45:52+00:00,True,2024,6,2024,6
samsung.com,NASDAQOTH:SSNLF,Salesforce Marketing Cloud Account Engagement,26a1a802-94cf-573a-9fe4-6438dd782daa,2024-09-02 10:12:27+00:00,2024-09-02 10:12:27+00:00,False,2024,9,2024,9
